항로시작기항지아이디,항로도착기항지아이디,항로구분아이디,터미널,항로명,항로구분,거리(마일),사용여부,연륙교 여부,기항지 이용료 여부
9614,3441,1,여수,여수-안도-연도,일반항로,10,사용,연륙교없음,기항지이용료없음
9661,3166,0,여수(사설),백야-금오도_직포,일반항로,10,사용,연륙교없음,기항지이용료없음
9614,9659,0,여수,(뉴)여수-함구미,일반항로,10,사용,연륙교없음,기항지이용료없음
9614,3173,0,여수,여수-둔병,일반항로,23.5,사용,연륙교없음,기항지이용료없음
3191,3131,1,녹동,녹동-거문도,일반항로,10,사용,연륙교없음,기항지이용료없음
3249,9607,0,여수(사설),돌산(신기)-여천,일반항로,10,사용,연륙교없음,기항지이용료없음
3191,3131,2,녹동,녹동-거문도(2),일반항로,10,사용,연륙교없음,기항지이용료없음
9661,3173,0,여수(사설),여수(사설)-둔병,일반항로,23.5,사용,연륙교없음,기항지이용료없음
9614,3131,7,여수,여수-손죽-거문,일반항로,57,사용,연륙교없음,기항지이용료없음
3389,3153,0,여수,손죽-광도,낙도보조항로,20,사용,연륙교없음,기항지이용료없음
